"sample","author","mean_dist_to_others"
"zweig_4","zweig",1.08306251818557
"zweig_3","zweig",1.08125439694209
"zweig_5","zweig",1.07632473913038
"hesse_1","hesse",1.06169802414519
"schnitzler_4","schnitzler",1.05595173325787
"zweig_2","zweig",1.05507578132874
"schnitzler_2","schnitzler",1.05397568351481
"kafka_2","kafka",1.05239062410543
"kafka_3","kafka",1.05183581860184
"schnitzler_3","schnitzler",1.05104550803527
"hesse_3","hesse",1.05006247063896
"zweig_1","zweig",1.04936510134839
"kafka_5","kafka",1.04486331128489
"kafka_1","kafka",1.03622721623981
"kafka_4","kafka",1.03489658741569
"schnitzler_5","schnitzler",1.03454853317691
"rilke_2","rilke",1.03404321369063
"hesse_5","hesse",1.03360644286074
"musil_3","musil",1.02950595791564
"leppin_5","leppin",1.02944149226673
"leppin_3","leppin",1.02753412707181
"werfel_2","werfel",1.02517837359921
"meyrink_3","meyrink",1.02459862494584
"hesse_2","hesse",1.02412195924706
"leppin_2","leppin",1.02334157818762
"hesse_4","hesse",1.02176968414433
"meyrink_4","meyrink",1.02126753987768
"musil_4","musil",1.01929758743468
"meyrink_5","meyrink",1.0183451192997
"leppin_1","leppin",1.01832568569822
"meyrink_2","meyrink",1.01805815208875
"leppin_4","leppin",1.017450437161
"rilke_4","rilke",1.01657290956419
"brod_2","brod",1.01606408182002
"brod_1","brod",1.015414884595
"werfel_1","werfel",1.01243621982746
"werfel_5","werfel",1.01066917674031
"werfel_3","werfel",1.00925943988404
"werfel_4","werfel",1.00453477856505
"meyrink_1","meyrink",1.00150148289377
"rilke_1","rilke",1.00039027723574
"musil_5","musil",0.998626562666499
"brod_4","brod",0.998574493821786
"rilke_3","rilke",0.998152920271913
"musil_1","musil",0.996896913824599
"mann_2","mann",0.995594973576037
"rilke_5","rilke",0.994686267731206
"schnitzler_1","schnitzler",0.992667998814479
"brod_5","brod",0.992590943729707
"musil_2","musil",0.991693648062264
"brod_3","brod",0.988957905601958
"mann_3","mann",0.988940134007234
"mann_5","mann",0.980916144335741
"mann_4","mann",0.976575884127604
"mann_1","mann",0.969165232975911
